i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
244,3,"(2, 7)","(0.3125, 0.9375)","(0.25, 0.875)","(0.375, 1.0)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
245,3,"(3, 7)","(0.4375, 0.9375)","(0.375, 0.875)","(0.5, 1.0)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
246,3,"(3, 6)","(0.4375, 0.8125)","(0.375, 0.75)","(0.5, 0.875)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
247,3,"(3, 5)","(0.4375, 0.6875)","(0.375, 0.625)","(0.5, 0.75)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
248,7,"(47, 95)","(0.37109375, 0.74609375)","(0.3671875, 0.7421875)","(0.375, 0.75)",0.004360295852765571,8.35149707601057e-07,1.8177030216043577e-05
249,7,"(47, 94)","(0.37109375, 0.73828125)","(0.3671875, 0.734375)","(0.375, 0.7421875)",0.003846457530334736,6.140434797840137e-07,1.4181192052884784e-05
250,7,"(46, 94)","(0.36328125, 0.73828125)","(0.359375, 0.734375)","(0.3671875, 0.7421875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
251,7,"(46, 95)","(0.36328125, 0.74609375)","(0.359375, 0.7421875)","(0.3671875, 0.75)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
252,6,"(22, 47)","(0.3515625, 0.7421875)","(0.34375, 0.734375)","(0.359375, 0.75)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
253,6,"(22, 46)","(0.3515625, 0.7265625)","(0.34375, 0.71875)","(0.359375, 0.734375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
254,7,"(46, 92)","(0.36328125, 0.72265625)","(0.359375, 0.71875)","(0.3671875, 0.7265625)",0.006822347526953028,3.1511594545589567e-07,4.62293098330662e-05
255,7,"(46, 93)","(0.36328125, 0.73046875)","(0.359375, 0.7265625)","(0.3671875, 0.734375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
256,7,"(47, 93)","(0.37109375, 0.73046875)","(0.3671875, 0.7265625)","(0.375, 0.734375)",0.0029318922806516423,5.28320012240444e-07,8.067672333104244e-06
257,7,"(47, 92)","(0.37109375, 0.72265625)","(0.3671875, 0.71875)","(0.375, 0.7265625)",0.0013740314717312744,7.13064392202213e-08,1.8166560460877906e-06
258,7,"(47, 91)","(0.37109375, 0.71484375)","(0.3671875, 0.7109375)","(0.375, 0.71875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
259,7,"(46, 91)","(0.36328125, 0.71484375)","(0.359375, 0.7109375)","(0.3671875, 0.71875)",0.005854490174344709,7.51210316293835e-07,3.3523844885204913e-05
260,7,"(46, 90)","(0.36328125, 0.70703125)","(0.359375, 0.703125)","(0.3671875, 0.7109375)",0.004139995129779005,7.909602326194577e-07,1.6348599441974425e-05
261,7,"(47, 90)","(0.37109375, 0.70703125)","(0.3671875, 0.703125)","(0.375, 0.7109375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
262,7,"(47, 89)","(0.37109375, 0.69921875)","(0.3671875, 0.6953125)","(0.375, 0.703125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
263,7,"(47, 88)","(0.37109375, 0.69140625)","(0.3671875, 0.6875)","(0.375, 0.6953125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
264,7,"(46, 88)","(0.36328125, 0.69140625)","(0.359375, 0.6875)","(0.3671875, 0.6953125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
265,7,"(46, 89)","(0.36328125, 0.69921875)","(0.359375, 0.6953125)","(0.3671875, 0.703125)",0.001569908644262782,1.2880038189925197e-07,2.3358127694317545e-06
266,7,"(45, 89)","(0.35546875, 0.69921875)","(0.3515625, 0.6953125)","(0.359375, 0.703125)",0.006657424804666,4.0959556203720297e-07,4.391170946774492e-05
267,7,"(45, 88)","(0.35546875, 0.69140625)","(0.3515625, 0.6875)","(0.359375, 0.6953125)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
268,7,"(44, 88)","(0.34765625, 0.69140625)","(0.34375, 0.6875)","(0.3515625, 0.6953125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
269,7,"(44, 89)","(0.34765625, 0.69921875)","(0.34375, 0.6953125)","(0.3515625, 0.703125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
270,6,"(22, 45)","(0.3515625, 0.7109375)","(0.34375, 0.703125)","(0.359375, 0.71875)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
271,5,"(10, 22)","(0.328125, 0.703125)","(0.3125, 0.6875)","(0.34375, 0.71875)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
272,5,"(10, 23)","(0.328125, 0.734375)","(0.3125, 0.71875)","(0.34375, 0.75)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
273,4,"(4, 11)","(0.28125, 0.71875)","(0.25, 0.6875)","(0.3125, 0.75)",0.05624999999999953,1.907803821497556e-31,0.003164062499999947
274,5,"(9, 21)","(0.296875, 0.671875)","(0.28125, 0.65625)","(0.3125, 0.6875)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
275,5,"(8, 21)","(0.265625, 0.671875)","(0.25, 0.65625)","(0.28125, 0.6875)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
276,6,"(17, 41)","(0.2734375, 0.6484375)","(0.265625, 0.640625)","(0.28125, 0.65625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
277,6,"(16, 41)","(0.2578125, 0.6484375)","(0.25, 0.640625)","(0.265625, 0.65625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
278,7,"(33, 81)","(0.26171875, 0.63671875)","(0.2578125, 0.6328125)","(0.265625, 0.640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
279,7,"(32, 81)","(0.25390625, 0.63671875)","(0.25, 0.6328125)","(0.2578125, 0.640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
280,7,"(32, 80)","(0.25390625, 0.62890625)","(0.25, 0.625)","(0.2578125, 0.6328125)",0.004360295852765571,8.351497076010572e-07,1.8177030216043584e-05
281,7,"(33, 80)","(0.26171875, 0.62890625)","(0.2578125, 0.625)","(0.265625, 0.6328125)",0.0038464575303347355,6.140434797840138e-07,1.418119205288478e-05
282,7,"(34, 80)","(0.26953125, 0.62890625)","(0.265625, 0.625)","(0.2734375, 0.6328125)",0.0029318922806516423,5.283200122404441e-07,8.067672333104244e-06
283,7,"(34, 81)","(0.26953125, 0.63671875)","(0.265625, 0.6328125)","(0.2734375, 0.640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
284,7,"(35, 81)","(0.27734375, 0.63671875)","(0.2734375, 0.6328125)","(0.28125, 0.640625)",0.006822347526953028,3.151159454558955e-07,4.62293098330662e-05
285,7,"(35, 80)","(0.27734375, 0.62890625)","(0.2734375, 0.625)","(0.28125, 0.6328125)",0.0013740314717312744,7.13064392202213e-08,1.8166560460877906e-06
286,7,"(36, 80)","(0.28515625, 0.62890625)","(0.28125, 0.625)","(0.2890625, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
287,7,"(37, 80)","(0.29296875, 0.62890625)","(0.2890625, 0.625)","(0.296875, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
288,7,"(37, 81)","(0.29296875, 0.63671875)","(0.2890625, 0.6328125)","(0.296875, 0.640625)",0.004139995129779006,7.90960232619457e-07,1.634859944197443e-05
289,7,"(36, 81)","(0.28515625, 0.63671875)","(0.28125, 0.6328125)","(0.2890625, 0.640625)",0.005854490174344709,7.512103162938349e-07,3.3523844885204913e-05
290,6,"(18, 41)","(0.2890625, 0.6484375)","(0.28125, 0.640625)","(0.296875, 0.65625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
291,7,"(38, 82)","(0.30078125, 0.64453125)","(0.296875, 0.640625)","(0.3046875, 0.6484375)",0.006657424804666,4.0959556203720297e-07,4.3911709467744915e-05
292,7,"(38, 83)","(0.30078125, 0.65234375)","(0.296875, 0.6484375)","(0.3046875, 0.65625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
293,7,"(39, 83)","(0.30859375, 0.65234375)","(0.3046875, 0.6484375)","(0.3125, 0.65625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
294,7,"(39, 82)","(0.30859375, 0.64453125)","(0.3046875, 0.640625)","(0.3125, 0.6484375)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
295,7,"(39, 81)","(0.30859375, 0.63671875)","(0.3046875, 0.6328125)","(0.3125, 0.640625)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
296,7,"(38, 81)","(0.30078125, 0.63671875)","(0.296875, 0.6328125)","(0.3046875, 0.640625)",0.001569908644262782,1.28800381899252e-07,2.3358127694317545e-06
297,7,"(38, 80)","(0.30078125, 0.62890625)","(0.296875, 0.625)","(0.3046875, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
298,7,"(39, 80)","(0.30859375, 0.62890625)","(0.3046875, 0.625)","(0.3125, 0.6328125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
299,6,"(20, 40)","(0.3203125, 0.6328125)","(0.3125, 0.625)","(0.328125, 0.640625)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
300,6,"(21, 40)","(0.3359375, 0.6328125)","(0.328125, 0.625)","(0.34375, 0.640625)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
301,6,"(21, 41)","(0.3359375, 0.6484375)","(0.328125, 0.640625)","(0.34375, 0.65625)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
302,7,"(41, 83)","(0.32421875, 0.65234375)","(0.3203125, 0.6484375)","(0.328125, 0.65625)",0.002733059647587248,4.1705989645688973e-07,7.052555140812844e-06
303,7,"(41, 82)","(0.32421875, 0.64453125)","(0.3203125, 0.640625)","(0.328125, 0.6484375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
304,7,"(40, 82)","(0.31640625, 0.64453125)","(0.3125, 0.640625)","(0.3203125, 0.6484375)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
305,7,"(40, 83)","(0.31640625, 0.65234375)","(0.3125, 0.6484375)","(0.3203125, 0.65625)",0.006212007240915247,5.671916468163854e-07,3.802184231436708e-05
306,7,"(40, 84)","(0.31640625, 0.66015625)","(0.3125, 0.65625)","(0.3203125, 0.6640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
307,7,"(41, 84)","(0.32421875, 0.66015625)","(0.3203125, 0.65625)","(0.328125, 0.6640625)",0.006827186895663643,2.1697128462528506e-07,4.639350962369609e-05
308,7,"(41, 85)","(0.32421875, 0.66796875)","(0.3203125, 0.6640625)","(0.328125, 0.671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
309,7,"(40, 85)","(0.31640625, 0.66796875)","(0.3125, 0.6640625)","(0.3203125, 0.671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
310,6,"(20, 43)","(0.3203125, 0.6796875)","(0.3125, 0.671875)","(0.328125, 0.6875)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
311,7,"(42, 86)","(0.33203125, 0.67578125)","(0.328125, 0.671875)","(0.3359375, 0.6796875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
312,7,"(42, 87)","(0.33203125, 0.68359375)","(0.328125, 0.6796875)","(0.3359375, 0.6875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
313,7,"(43, 87)","(0.33984375, 0.68359375)","(0.3359375, 0.6796875)","(0.34375, 0.6875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
314,7,"(43, 86)","(0.33984375, 0.67578125)","(0.3359375, 0.671875)","(0.34375, 0.6796875)",0.006827186895663643,2.1697128462528506e-07,4.639350962369609e-05
315,7,"(43, 85)","(0.33984375, 0.66796875)","(0.3359375, 0.6640625)","(0.34375, 0.671875)",0.003636740288274816,5.888534694698443e-07,1.263702645489135e-05
