run_id,status,alpha,beta,tau,sigma_c,refinement_decay,h,initial_threshold,refine_fraction,coarsen_fraction,zeta,RMSE,PSNR,SSIM,C_rel,basis_size,n_leaves,max_level_used,final_energy,safeguard_accept_rate,runtime_s
51,ok,0.01,0.0002,1e-08,0.35,0.2,0.8,0.012,0.05,0.2,1e-06,0.07635678743947752,22.34304703947453,0.7039414794101484,0.048583984375,199,199,6,0.008004630453758028,1.0,0.58897520811297
52,ok,0.005,0.0002,5e-07,0.05,0.6,1.2,0.008,0.2,0.1,1e-07,0.05266789103349679,25.56908143268043,0.8416811075418462,0.101318359375,415,415,6,0.004795653229867765,1.0,1.2492799581959844
53,ok,0.002,0.0005,2e-06,0.35,0.6,0.25,0.012,0.05,0.1,1e-07,0.0761870814618968,22.362373257052862,0.7044794687194725,0.04052734375,166,166,6,0.007411586554387046,1.0,0.34298954205587506
54,ok,0.01,0.0002,1e-08,0.08,0.35,0.8,0.008,0.05,0.1,1e-07,0.05290884830849374,25.52943383710021,0.8407948877958391,0.101318359375,415,415,6,0.004910278415483228,1.0,1.0420210419688374
55,ok,0.002,0.0002,5e-07,0.35,0.2,0.5,0.02,0.1,0.05,1e-07,0.09416225873336391,20.522462646522996,0.6107398069981185,0.020751953125,85,85,4,0.008216396634107687,1.0,0.22786545800045133
56,ok,0.005,0.0002,2e-06,0.12,0.2,0.8,0.012,0.1,0.1,1e-07,0.07636700744463565,22.341884550851145,0.7035415149079192,0.04052734375,166,166,6,0.006724353655390715,1.0,0.42624545795843005
57,ok,0.002,0.0,1e-08,0.2,0.2,0.8,0.02,0.1,0.05,0.0,0.09424999422824376,20.514373354356806,0.6083597509002923,0.02294921875,94,94,4,0.007631380917152773,1.0,0.2548439591191709
58,ok,0.005,0.0002,1e-08,0.12,0.35,0.8,0.008,0.1,0.1,1e-07,0.053121894493609524,25.49452890117081,0.8264804914691353,0.108642578125,445,445,6,0.004725679801059847,1.0,1.0175143331289291
59,ok,0.04,0.0005,5e-07,0.35,0.35,0.8,0.012,0.2,0.05,1e-06,0.07829413797521446,22.1254150628822,0.7085418586983112,0.042724609375,175,175,6,0.01432753206071158,0.16666666666666666,0.6748241670429707
60,ok,0.01,0.0002,1e-07,0.05,0.6,0.5,0.012,0.1,0.05,0.0,0.07592135937111198,22.392720489463667,0.7043317412731068,0.045654296875,187,187,6,0.006189008622374365,1.0,0.41578658390790224
61,ok,0.01,5e-05,1e-07,0.05,0.2,1.2,0.012,0.05,0.2,1e-06,0.07612442555659886,22.36951943162552,0.7014362701237981,0.048583984375,199,199,6,0.005920944076207159,1.0,0.5862278328277171
62,ok,0.04,0.0005,1e-08,0.05,0.6,0.8,0.004,0.1,0.2,0.0,0.05352508503044818,25.428852682174412,0.7661127942478094,0.252197265625,1033,1033,6,0.005791441161441615,1.0,2.8299605830106884
63,ok,0.005,0.0005,1e-08,0.08,0.2,1.2,0.008,0.2,0.2,0.0,0.05246958963916707,25.601846647476805,0.8509484389352036,0.1005859375,412,412,6,0.0054616017630669264,1.0,1.1776038340758532
