method,heat_sigma,RMSE,PSNR,SSIM,C_rel,iterations,kappa,dt,threshold,threshold_multiplier,weight
Wavelet soft,,0.10692387466765121,19.418506236564706,0.5911643577210874,1.0,,,,0.00970025307752696,1.9026315789473685,
Wavelet soft,,0.10879180788354673,19.26807612307291,0.5873195118781777,1.0,,,,0.010196669901688089,2.0,
TV,,0.06748648337435936,23.415664034861187,0.5736212216713016,1.0,,,,,,0.008
TV,,0.06563103934866657,23.6578143619691,0.5826069387968239,1.0,,,,,,0.009424825572440463
TV,,0.06351772221807017,23.942101687015942,0.5934409039838657,1.0,,,,,,0.011103417133865963
TV,,0.061135347904119064,24.274152240049055,0.6065309362398392,1.0,,,,,,0.013080971218091682
TV,,0.058493817594113,24.657800670373177,0.6223073245229024,1.0,,,,,,0.01541073400607852
TV,,0.05560590031908422,25.097582463300107,0.6413776958721283,1.0,,,,,,0.01815543499382083
TV,,0.05251726154490942,25.593958556046257,0.6644544819189335,1.0,,,,,,0.021388976001067865
TV,,0.04933943611739351,26.13611636425594,0.6920686229436214,1.0,,,,,,0.025198420997897458
TV,,0.04623488996475227,26.700603432384607,0.72483980826314,1.0,,,,,,0.02968634032576309
TV,,0.043503547476855337,27.22950654513463,0.7620048917517362,1.0,,,,,,0.03497357243180282
TV,,0.04150728264276648,27.637513952945596,0.8015632341805444,1.0,,,,,,0.04120247747685672
TV,,0.04064205215051873,27.82048742435224,0.8388624079634691,1.0,,,,,,0.04854077042147266
TV,,0.04120028315319426,27.701995984460012,0.8664848257615244,1.0,,,,,,0.057186036796782115
TV,,0.04324428025924566,27.281426534442474,0.8768621161571843,1.0,,,,,,0.06737105274860418
TV,,0.0466098452415204,26.63044678102445,0.8720629591369858,1.0,,,,,,0.07937005259840996
TV,,0.05120989745001089,25.812921877156633,0.855281378068738,1.0,,,,,,0.09350611267692985
TV,,0.05668887160995908,24.930043750794614,0.8270147945049889,1.0,,,,,,0.11015985024212842
TV,,0.06269555673018841,24.055264735519067,0.7905383624576328,1.0,,,,,,0.1297796717022779
TV,,0.06270483304896711,24.05397968239526,0.784529748478394,1.0,,,,,,0.15289384608031958
TV,,0.06152810264922762,24.218529542112528,0.7845853268039295,1.0,,,,,,0.18012472880082142
TV,,0.07071234987745077,23.01009460518312,0.7354205932380903,1.0,,,,,,0.21220551877886062
TV,,0.07645726518771809,22.331624807774443,0.7043526849338705,1.0,,,,,,0.25
