i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
283,7,"(79, 38)","(0.62109375, 0.30078125)","(0.6171875, 0.296875)","(0.625, 0.3046875)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
284,7,"(79, 37)","(0.62109375, 0.29296875)","(0.6171875, 0.2890625)","(0.625, 0.296875)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
285,7,"(78, 37)","(0.61328125, 0.29296875)","(0.609375, 0.2890625)","(0.6171875, 0.296875)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
286,7,"(78, 36)","(0.61328125, 0.28515625)","(0.609375, 0.28125)","(0.6171875, 0.2890625)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
287,7,"(79, 36)","(0.62109375, 0.28515625)","(0.6171875, 0.28125)","(0.625, 0.2890625)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
288,7,"(79, 35)","(0.62109375, 0.27734375)","(0.6171875, 0.2734375)","(0.625, 0.28125)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
289,7,"(79, 34)","(0.62109375, 0.26953125)","(0.6171875, 0.265625)","(0.625, 0.2734375)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
290,7,"(78, 34)","(0.61328125, 0.26953125)","(0.609375, 0.265625)","(0.6171875, 0.2734375)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
291,7,"(78, 35)","(0.61328125, 0.27734375)","(0.609375, 0.2734375)","(0.6171875, 0.28125)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
292,6,"(38, 17)","(0.6015625, 0.2734375)","(0.59375, 0.265625)","(0.609375, 0.28125)",0.007824786379724686,3.705506433993281e-33,6.122728188832495e-05
293,6,"(38, 16)","(0.6015625, 0.2578125)","(0.59375, 0.25)","(0.609375, 0.265625)",0.007824786379724686,3.705506433993281e-33,6.122728188832495e-05
294,7,"(78, 32)","(0.61328125, 0.25390625)","(0.609375, 0.25)","(0.6171875, 0.2578125)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
295,7,"(78, 33)","(0.61328125, 0.26171875)","(0.609375, 0.2578125)","(0.6171875, 0.265625)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
296,7,"(79, 33)","(0.62109375, 0.26171875)","(0.6171875, 0.2578125)","(0.625, 0.265625)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
297,7,"(79, 32)","(0.62109375, 0.25390625)","(0.6171875, 0.25)","(0.625, 0.2578125)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
298,3,"(5, 2)","(0.6875, 0.3125)","(0.625, 0.25)","(0.75, 0.375)",0.09924437825178394,5.937640607952628e-31,0.009849446614583163
299,2,"(2, 0)","(0.625, 0.125)","(0.5, 0.0)","(0.75, 0.25)",0.12844218868165183,9.995205895550375e-31,0.01649739583333305
300,2,"(3, 0)","(0.875, 0.125)","(0.75, 0.0)","(1.0, 0.25)",0.15963010628741967,1.5411045031370727e-30,0.0254817708333329
